Uppercase	Lowercase	Glyph	Glyph	Approximate Unicode Name
NFD Encoding	NFD Encoding			
U+0041	U+0061	A	a	LATIN LETTER A
U+0042	U+0062	B	b	LATIN LETTER B
U+0044	U+0064	D	d	LATIN LETTER D
U+0045	U+0065	E	e	LATIN LETTER E
U+0045 U+0308	U+0065 U+0308	Ë	ë	LATIN LETTER E with COMBINING DIAERESIS
U+0046	U+0066	F	f	LATIN LETTER F
U+0047	U+0067	G	g	LATIN LETTER G
U+0048	U+0068	H	h	LATIN LETTER H
U+0049	U+0069	I	i	LATIN LETTER I
U+004B	U+006B	K	k	LATIN LETTER K
U+004C	U+006C	L	l	LATIN LETTER L
U+004D	U+006D	M	m	LATIN LETTER M
U+004E	U+006E	N	n	LATIN LETTER N
U+004F	U+006F	O	o	LATIN LETTER O
U+004F U+0308	U+006F U+0308	Ö	ö	LATIN LETTER O with COMBINING DIAERESIS
U+0050	U+0070	P	p	LATIN LETTER P
U+0052	U+0072	R	r	LATIN LETTER R
U+0053	U+0073	S	s	LATIN LETTER S
U+0054	U+0074	T	t	LATIN LETTER T
U+0055	U+0075	U	u	LATIN LETTER U
U+0055 U+0308	U+0075 U+0308	Ü	ü	LATIN LETTER U with COMBINING DIAERESIS
U+0056	U+0076	V	v	LATIN LETTER V
U+0057	U+0077	W	w	LATIN LETTER W
U+0059	U+0079	Y	y	LATIN LETTER Y
U+005A	U+007A	Z	z	LATIN LETTER Z
U+0186	U+0254	Ɔ	ɔ	LATIN LETTER OPEN O
U+0190	U+025B	Ɛ	ɛ	LATIN LETTER OPEN E
U+0196	U+0269	Ɩ	ɩ	LATIN LETTER IOTA
U+01B2	U+028B	Ʋ	ʋ	LATIN LETTER V WITH HOOK
U+01B2 U+0308	U+028B U+0308	Ʋ̈	ʋ̈	LATIN LETTER V WITH HOOK with COMBINING DIAERESIS
N/a	U+02BC	ʼ		MODIFIER LETTER APOSTROPHE
N/a	U+02D7	˗		MODIFIER LETTER MINUS SIGN
N/a	U+02EE	ˮ		MODIFIER LETTER DOUBLE APOSTROPHE
N/a	U+A78A	꞊		MODIFIER LETTER SHORT EQUALS SIGN
NFC Encoding	NFC Encoding			
U+00CB	U+00EB	Ë	ë	LATIN LETTER E WITH DIAERESIS
U+00D6	U+00F6	Ö	ö	LATIN LETTER O WITH DIAERESIS
U+00DC	U+00FC	Ü	ü	LATIN LETTER U WITH DIAERESIS
None	None	Ʋ̈	ʋ̈	LATIN LETTER V WITH HOOK WITH DIAERESIS
