I	F	Lexical String	Usage	%	Other Tone Patterns
	""""	klang	60	0.41	?
	""""	në	39	0.27	?
	""""	mɔɔ	10	0.07	?
	""""	Klang	9	0.06	?
	""""	slɔɔ	8	0.05	?
	""""	kwɛɛ	8	0.05	?
	""""	soo	7	0.05	?
	""""	keng	5	0.03	?
	""""	gwinng	4	0.03	?
	""""	dhong	2	0.01	?
	""""	draan	2	0.01	?
	""""	gloo	2	0.01	?
	""""	Klan	1	0.01	?
	""""	göö	1	0.01	?
	""""	klang	3	0.02	?
	""""	wlüü	1	0.01	?
	""""	bha	220	1.5	?
	""""	waa	183	1.24	?
	""""	kwaa	125	0.85	?
	""""	kë	107	0.73	?
	""""	ya	98	0.67	?
	""""	Kwaa	61	0.41	?
	""""	dɔ	37	0.25	?
	""""	yö	30	0.2	?
	""""	kö	26	0.18	?
	""""	kwa	21	0.14	?
	""""	woo	20	0.14	?
	""""	mɔɔ	18	0.12	?
	""""	gun	16	0.11	?
	""""	see	16	0.11	?
	""""	dho	16	0.11	?
	""""	Yii	15	0.1	?
	""""	nu	15	0.1	?
	""""	draan	14	0.1	?
	""""	baa	13	0.09	?
	""""	gɔɔn	13	0.09	?
	""""	bho	13	0.09	?
	""""	sië	12	0.08	?
	""""	ziö	9	0.06	?
	""""	yöö	9	0.06	?
	""""	kaa	9	0.06	?
	""""	nü	7	0.05	?
	""""	yii	7	0.05	?
	""""	yaan	7	0.05	?
	""""	pö	6	0.04	?
	""""	ziaan	6	0.04	?
	""""	saa	6	0.04	?
	""""	bhɔ	6	0.04	?
	""""	oo	6	0.04	?
	""""	yaa	5	0.03	?
	""""	Kwa	5	0.03	?
	""""	zë	5	0.03	?
	""""	wo	4	0.03	?
	""""	sü	4	0.03	?
	""""	dhuëë	4	0.03	?
	""""	wɛng	3	0.02	?
	""""	go	3	0.02	?
	""""	ga	3	0.02	?
	""""	wɛnng	3	0.02	?
	""""	gaa	2	0.01	?
	""""	bɔ	2	0.01	?
	""""	dhang	2	0.01	?
	""""	kpa	2	0.01	?
	""""	Kö	2	0.01	?
	""""	gwaan	2	0.01	?
	""""	zun	2	0.01	?
	""""	Yi	2	0.01	?
	""""	ban	2	0.01	?
	""""	ma	2	0.01	?
	""""	pa	2	0.01	?
	""""	slëë	1	0.01	?
	""""	Saa	1	0.01	?
	""""	Gloo	1	0.01	?
	""""	Zan	1	0.01	?
	""""	gɔɔnwaa	1	0.01	?
	""""	ang	1	0.01	?
	""""	klang	1	0.01	?
	""""	kpɔ	1	0.01	?
	""""	din	1	0.01	?
	""""	ANARIZ	1	0.01	?
	""""	Zouan	1	0.01	?
	""""	Gɔɔn	1	0.01	?
	""""	gblaa	1	0.01	?
	""""	klɔɔ	1	0.01	?
	""""	yën	1	0.01	?
	""""	yi	1	0.01	?
	""""	dhowo	1	0.01	?
	""""	Waa	1	0.01	?
	""""	le	1	0.01	?
	""""	aɔ	1	0.01	?
	""""	në	1	0.01	?
	""""	zua	1	0.01	?
	""""	fiëë	1	0.01	?
	""""	ü	1	0.01	?
	""""	gba	1	0.01	?
	""""	böö	1	0.01	?
	""""	mü	1	0.01	?
	""""	gɛan	28	0.19	?
	""""	zuë	7	0.05	?
	""""	kwaa	2	0.01	?
	""""	bhɛa	2	0.01	?
	""""	waa	2	0.01	?
	""""	dɔ	1	0.01	?
	""""	Zuë	1	0.01	?
	""""	dhia	1	0.01	?
	""""	Kwaagɛan	1	0.01	?
	""""	yö	1	0.01	?
	""""	bhië	1	0.01	?
	""""	Kwaa	1	0.01	?
	""""	wlüü	1	0.01	?
	""""	Klaa	1	0.01	?
	""""	dhɛɛ	1	0.01	?
	""""	pia	1	0.01	?
	""""	dhuu	1	0.01	?
